keyword,position_desc
java,"岗位职责

1、负责公司分销系统维护及二次开发工作。
2、负责开发设计及培训文档编写工作
3、根据需求，完成相应开发测试及上线支持
任职资格
1、大专及以上学历，计算机、软件工程、信息管理类专业
2、熟悉JAVA开发、FLEX技术，具有三年以上开发经验
3、熟悉Oracle数据库表及存储过程等相关操作，熟练使用SQL语句
4、具有良好沟通协调能力、学习能力、良好心里素质及抗压能力
5、具有较强责任心，工作积极主动，具有较强逻辑分析能力。
职能类别：
软件工程师Java开发工程师
关键字：
java软件开发软件工程师java开发
微信分享"
,
java,"工作岗位：Java开发工程师
    工作职责：
根据项目要求及上级领导分配的任务，承担系统功能开发，并按计划完成任务目标；
负责系统分析与设计，并负责完成核心代码和独立完成模块的编码；
负责对开发成果进行自测；
分析并解决软件开发过程中的问题，参与技术难题攻关；
参与编制与项目相关的技术文档；
完善并遵守团队编码规范，编写高质量、结构清晰、易读、易维护的代码；
                                技能需求：
     计算机相关专业本科及以上学历，2年及以上java开发工作经验；
精通JAVA语言，熟悉Java领域主流常用框架，如springboot、Spring Cloud、Spring、SpringMVC、Mybatis等；
熟悉linux/UNIX等操作系统，可以熟练部署应用系统，熟悉apache,nginx,Tomcat等应用服务器的使用；
熟悉activiti等工作流框架；
熟悉关系型数据基本原理，熟练掌握mysql、orcale数据库开发技术，具有SQL开发能力,能够进行数据库表设计和性能调优；
熟练掌握javascript、HTML、jQuery、CSS等前端相关技术，熟悉vue等前端框架
具有移动端app、小程序等开发经验者优先
有风控或者审计相关的开发经验者优先，有微服务、大容量、高性能、高可用、分布式、架构设计经验者优先
具有良好的团队合作精神，能够在一定压力下工作，具备良好的需求理解和分析能力，能够积极完成上级安排的工作任务，有强烈责任心和严谨工作作风、诚实守信、有良好的自学能力和沟通能力。


职能类别：
Java开发工程师
关键字：
java软件开发软件工程师开发软件
微信分享"
,
java,"阿里集团-CTO线-MMC技术部-数字渠道技术：
1、主导参与社区团购渠道业务系统架构设计及核心研发；
2、分析现有系统的不足，优化系统架构，提高系统性能、可维护性，提升开发效率；
？3、深入思考负责参与的业务，从技术驱动的角度挖掘业务机会。

阿里集团-CTO线-MMC技术部-供应链技术：
1.立足为客户提供鲜美生活、一站式购齐服务，升整体的供应链效率；
2.需要有一定开发经验，了解阿里新零售中台架构（交易、库存、营销平台等），并根据社区团购业务创新的情况提出可扩展性的技术方案；
3.解决各种疑难杂症问题并进行系统优化工作，完成业务产品建设和技术能力持续沉淀。

阿里集团-CTO线-MMC技术部-物流技术：
1、参与阿里社区团购业务架构设计及开发，实现基于app、小程序等复杂业务场景下的分布式应用系统；
2、负责社区团购业务团长侧管理、用户增长、营销、权益、搜索、分佣结算等相关系统的架构设计和核心模块代码编写；
3、深入理解业务需求，主动分析和发现业务痛点提出技术建议，推动落地解决，与新业务一起成长；
4、结合架构和Java技术发展趋势，进行技术预研和技术攻关，突破系统和项目中的技术难点。

阿里集团-CTO线-MMC技术部-基础导购：
1. 主导参与社区团购导购业务系统架构设计及核心研发；
2. 根据业务规划制定相应的技术规划，推动系统演进，解决项目过程中关键架构问题和技术难题；
3. 保持架构设计的前瞻性， 规范开发流程，进行技术创新，推动技术和业务的融合。

阿里集团-CTO线-MMC技术部-C端技术：
1. 负责MMC买家链路业务产品（导购交易营销结算等）相关的架构设计与开发；
2. 从用户和技术出发，实现面向未来的系统规划、设计和落地；
3. 技术预研和技术难点攻关，保障系统可用性、稳定性、和可扩展性。

阿里集团-CTO线-MMC技术部-端技术：
1. 主导参与团队相关系统架构设计及核心研发，实现平台的可持续运营；
2. 为小店提供数据化的服务能力，为运营提供决策支持；
3. 技术难点攻关，保障系统可用性、稳定性和可扩展性。

阿里集团-CTO线-MMC技术部-数字渠道技术：
1、JAVA基础扎实，理解IO多线程、集合等基础框架，了解JVM原理，熟悉Spring等常用开源框架的工作原理；
2、具备大型网站核心开发、设计经验；熟悉分布式系统设计、SOA、消息队列、缓存等技术；
3、精通面向对象思想、设计模式、领域建模；
4、具备较强的业务理解及业务抽象能力，能理解数据，分析数据，挖掘商业本质；
5、有强烈的技术热情和钻研精神，热爱新技术；有独立、主动的学习习惯和良好的沟通表达、团队协作能力。

阿里集团-CTO线-MMC技术部-供应链技术：
1.编程基础扎实，熟悉io、多线程、集合等基础框架；3年以上使用java进行研发的经验，熟练使用spring 、MVC等框架；
2.熟悉分布式、缓存、消息、搜索、数据分析等工作机制；
3.熟悉常用设计模式，有大型分布式、高并发、高负载、高可用性系统设计开发经验；
4.具有出色的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；
5.有零售业相关的ERP、WMS，供应链等相关业务系统开发经验者优先。

阿里集团-CTO线-MMC技术部-物流技术：
1、计算机科学或相关专业本科及以上学历，1年以上相关岗位工作经验；
2、具有扎实的Java功底，对JVM的原理有一定的了解，具有较好的Java IO、多线程、网络等方面的编程能力；
3、熟悉Spring、MyBatis、Struts、Tomcat等常用Java开源框架，对其运行原理有较好的理解；
4、精通数据库设计（Mysql优先），优秀的SQL编写及调优能力，熟悉常见NoSQL存储，如hbase、memcached、redis、mongodb等；
5、有大规模高并发互联网应用的设计和开发经验，熟悉常规的分布式架构，熟悉缓存、消息队列等开源中间件；
6、具有较好的沟通能力、思路清晰、善于思考、能独立分析和解决问题；
7、有强烈的责任心和团队合作精神，良好的抗压能力，心态积极，能主动融入团队；
8、有用户增长平台开发经验、大数据开发经验优先。

阿里集团-CTO线-MMC技术部-基础导购：
1. 精通Java等面向对象至少一门语言，对相关技术领域的开源产品有深入的理解；
2. 熟悉缓存技术、搜索推荐技术、异步框架、集群与负载均衡、消息系统等领域；
3. 有大型分布式、高并发、高负载、高可用系统设计、开发和调优经验；
4. 具备较强的逻辑思维、沟通技巧、管理能力；
5. 有搜索推荐广告等相关经验优先。

阿里集团-CTO线-MMC技术部-C端技术：
1. Java基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；
2. 对于你用过的开源框架，能了解到它的原理和机制；对Spring、ibatis开源框架熟悉；
3. 掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验；
4. 对技术有浓厚兴趣，学习能力强，适应能力好，抗压能力强；
5.具备较强的业务理解及业务抽象能力，能理解数据，分析数据，挖掘商业本质；
6. 有强烈的技术热情和钻研精神，热爱新技术；有独立、主动的学习习惯和良好的沟通表达、团队协作能力；
7. 激情，有创业经历和主导平台型产品研发经验者优先。

阿里集团-CTO线-MMC技术部-端技术：
1. JAVA基础扎实，理解IO多线程、集合等基础框架，了解JVM原理，熟悉Spring, ibatis, struts, zookeeper等开源框架的工作原理；
2. 具备大型网站核心开发、设计经验；熟悉分布式系统设计、SOA、消息队列、缓存等技术；
3. 精通面向对象思想、设计模式、领域建模；
4. 具备较强的业务理解及业务抽象能力，能理解数据，分析数据，挖掘商业本质；
5. 有强烈的技术热情和钻研精神，热爱新技术；有独立、主动的学习习惯和良好的沟通表达、团队协作能力；
6. 激情，有创业经历者；SAAS化CRM，ERP经历者优先。
职能类别：
软件工程师
微信分享"
,
java,"1、根据详细设计按照项目计划从事开发工作
2、负责产品软件设计与开发实现,优化现有系统及功能升级
3、参与系统的需求分析、设计、编码、单元测试、BUG解决等工作1、精通Java开发语言、 熟练掌握Eclipse、IDEA开发工具，了解多线程机制;
2、熟悉VUE，HTML、JSP等Web开发相关技术，了解前后端分离;
3、熟悉SpringBoot，熟悉SpringCloud相关组件及功能开发;
4、熟悉SQL语言 ,熟悉Oracle、Mysql数据库设计和应用开发，海量数据表的查询索引优化；
5、了解各种中间件，MQ，Redis，Zookeeper、Nacos、shardingsphere、kettle
6、熟悉git/svn版本管理;
7、参与系统设计、需求分析、程序开发以及技术文档编写的相关工作。
职能类别：
软件工程师
微信分享"
,
java,"1、有设计经验及项目管理经验；3年以上工作经验；
2、日语2级（或相当）以上，能够独立撰写业务QA，电子邮件，并面对面和客户就业务/技术问题进行交流；
3、能够独立用日语书写结合测试票和详细设计书；
4、有赴日经验者优先考虑；

职能类别：
高级软件工程师
微信分享"
,
